name,officialWebsite,latitude,longitude
Ski Snow Valley Barrie,http://www.skisnowvalley.com/,44.41060828949042,-79.79061126708986
Hidden Valley Highlands,http://www.skihiddenvalley.on.ca/,45.35612768267574,-79.12968361434935
Mount Baldy,http://www.skimountbaldy.ca,48.52559874791694,-89.12828765869142
Loch Lomond Ski Area,http://www.lochlomond.ca/,48.294056,-89.346744
Ski Dagmar,http://www.skidagmar.com/,44.01243,-79.057608
Searchmont Resort,http://www.searchmont.com/,46.769225,-84.045481
Cobble Hills Golf & Ski Club,http://www.cobblehills.ca/,43.1089413631271,-81.0647249221802
Madawaska Valley (Radcliffe Hills),http://skithevalley.ca/,45.43676738098741,-77.66218185424799
Devil's Elbow,http://www.devilselbow.com/,44.21996,-78.575667
Chicopee Ski Club,http://www.discoverchicopee.com/,45.12357584777798,-80.79345703125001
Skyloft Ski & Country Club,http://www.skyloft.com/,44.030016,-79.075621
Sir Sam's Ski Area,http://www.sirsams.com/,45.129858,-78.483072
White Pine Ski Area,http://www.whitepineski.com/,42.9773998438591,-109.758224487305
Meadowlark Ski Lodge (Big Horn Ski Resort),http://www.lodgesofthebighorns.com/meadowlark-ski-lodge-wyoming.php,44.1634893281213,-107.217292785645
Grand Targhee Ski Resort,,43.783809324708,-110.94663929382
Jackson Hole Mountain Resort,http://www.jacksonhole.com,43.594884839631,-110.84408772671
Hogadon Ski Area,,42.744961111111,-106.33942777778
Antelope Butte Ski Area,https://www.antelopebuttefoundation.org/the-mountain/,44.6114593839695,-107.5147819519043
Sleeping Giant Ski Area,http://www.skisg.com/,44.492005,-109.941751
Snowy Range,,41.34126991586003,-106.18317224290195
Snow King Ski Area,,43.469166666667,-110.75083333333
Nordic Mountain,,44.12169857972283,-89.18100357055664
Whitecap Mountains,,46.407859877068454,-90.39559364318848
Trollhaugen Ski Area,,45.3496118624493,-92.621955871582
Standing Rocks,,44.433550014618156,-89.39851999282837
Little Switzerland,http://www.littleswitz.com/,43.3383,-88.2807
Tyrol Basin,http://www.tyrolbasin.com,43.042747222222,-89.777719444444
The Mountain Top at Grand Geneva Resort,,42.6107800920452,-88.3879280090332
Bruce Mound Ski Area,http://www.co.clark.wi.us/index.aspx?nid=237,44.445163,-90.785354
Wilmot Mountain,,42.5,-88.188888888889
Christmas Mountain Village,,43.6087366288434,-89.8594093322754
Highlands of Olympia,,43.08814819066048,-88.47991107974855
Mount Ashwabay,http://www.mtashwabay.org/,46.781046,-90.912407
Alpine Valley Resort,https://www.alpinevalleyresort.com/,42.74582000000004,-88.42590999999999
Granite Peak,https://www.skigranitepeak.com/,44.928611111111,-89.6825
Mt. LaCrosse,http://www.mtlacrosse.com/,43.7410263804292,-91.182746887207
Telemark Resort,,46.187882437823376,-91.24802112579346
Sunburst Ski Area,,43.4938102020712,-88.2241630554199
Rock Snowpark (Crystal Ridge),https://www.rocksnowpark.com/,42.920417789135996,-88.01628112792969
Cascade Mountain,,43.4990091695623,-89.5147132873535
Mont du Lac,https://mdlresort.com/winter/,46.652021,-92.28433000000001
Keyes Peak Ski Area,,45.89535475861722,-88.29909324645996
Christie Mountain Ski Area,,45.5075499430853,-91.3834190368652
Devil's Head Resort,,43.4220062741493,-89.6273231506348
Canaan Valley Resort,http://www.canaanresort.com/winter/,39.007472538140306,-79.43682256062789
Snowshoe Mountain,http://www.snowshoemtn.com/,38.424160087161,-79.994555875147
Winterplace Ski Resort,,37.59,-81.115
Timberline Mountain (Timberline Four Seasons Resort),https://timberlinemountain.com,39.0375863227058,-79.3971633911133
White Pass Ski Area,http://www.skiwhitepass.com,46.623289874443,-121.39445967311
Bluewood,http://www.bluewood.com,46.075850501194,-117.85171508789
Mission Ridge Ski Area,http://www.missionridge.com,47.28152431316,-120.4122539254
Badger Mountain Ski Area,http://www.ci.waterville.wa.us/ski%20hill.htm,47.611284201429,-120.12961864471
Sitzmark Ski Hill,http://gositzmark.org/,48.8639807401329,-119.163980484009
Mt. Spokane Ski Area,,47.9233596156413,-117.102928161621
Stevens Pass Ski Area,http://www.stevenspass.com,47.737572652027,-121.09042995777
Mt. Baker Ski Area,http://www.mtbaker.us,48.857260936884,-121.66574080868
Loup Loup Ski Bowl,http://www.skitheloup.com,48.393307797187,-119.91010665894
Crystal Mountain Resort,https://www.crystalmountainresort.com/,46.936315801205,-121.47428512573
The Summit at Snoqualmie / Alpental,http://www.summit-at-snoqualmie.com,47.412334866807,-121.41843515102
49 Degrees North Mountain Resort,http://www.ski49n.com,48.292973160081,-117.56557351874
Bryce Resort,http://www.bryceresort.com/Home.aspx,38.813897358089,-78.7668657302856
Massanutten Resort,,38.3992585068922,-78.7578964233398
